Exercise Name,Body Part,Equipment
Triceps Pressdown,Arms,Resistance Bands/Cables
Triceps Pushdowns ,Arms,Weight Machines / Selectorized
Upward Facing Dog,"Abs, Back",No Equipment
V Sit Partner Rotations,Abs,Medicine Ball
V-raise,Shoulders,Dumbbells
Walking Abduction,Butt/Hips,Resistance Bands/Cables
Warrior I,"Butt/Hips, Full Body/Integrated, Legs - Thighs",No Equipment
Wrist Curl - Extension,Arms,"Bench, Dumbbells"
Wrist Curl - Flexion,Arms,"Bench, Dumbbells"
Wrist Supination & Pronation Exercises,Arms,"Bench, Dumbbells"
